owner,repository,category,stars,forks,watchers,subscribers,open_issues,size,language,topics_count,license,default_branch,contributors,releases,branches,readme_size,has_wiki,has_projects,has_issues,has_pages,archived,disabled,created_at,updated_at,pushed_at
stillwater-sc,universal,SmallActive,500,69,500,25,28,145666,C++,19,MIT,main,28,30,1,52547,1,1,1,1,0,0,2017-05-01 20:13:06+00:00,2026-07-10 09:57:35+00:00,2026-07-01 02:36:09+00:00
harismuneer,Library-Management-System-JAVA,SmallActive,500,329,500,22,22,1000,Java,20,MIT,master,2,0,2,9769,0,0,1,0,0,0,2018-07-02 16:35:51+00:00,2026-07-14 04:50:39+00:00,2025-01-30 18:01:50+00:00
zchuz,CoT-Reasoning-Survey,SmallActive,500,16,500,6,0,5005,Unknown,6,MIT,main,2,0,1,45340,0,0,1,0,0,0,2023-09-22 06:10:39+00:00,2026-07-14 08:01:24+00:00,2025-01-16 12:25:06+00:00
liangdabiao,amazon-sorftime-research-MCP-skill,SmallActive,500,79,500,2,3,1855,Python,1,No License,main,1,0,2,34535,1,1,1,0,0,0,2026-03-02 15:17:23+00:00,2026-07-14 11:28:16+00:00,2026-07-08 12:17:42+00:00
scikit-build,scikit-build-core,SmallActive,500,92,500,11,39,3116,Python,2,Apache-2.0,main,30,30,25,16815,0,0,1,0,0,0,2022-08-17 04:51:15+00:00,2026-07-12 04:28:31+00:00,2026-07-14 06:02:48+00:00
Kruithne,wow.export,SmallActive,500,100,500,23,64,164974,JavaScript,0,MIT,main,16,30,15,2069,1,1,1,0,0,0,2019-10-21 16:45:49+00:00,2026-07-13 12:09:32+00:00,2026-06-22 19:31:43+00:00
ircfspace,tconfig,SmallActive,500,134,500,30,20,721,JavaScript,10,No License,main,1,5,1,740,0,1,1,1,0,0,2023-06-22 09:14:18+00:00,2026-07-13 12:36:23+00:00,2025-07-06 09:45:58+00:00
mercurykd,vpnbot,SmallActive,500,89,500,18,7,140053,PHP,0,No License,master,6,0,5,495,1,1,1,1,0,0,2022-10-04 14:37:21+00:00,2026-06-25 05:42:29+00:00,2026-05-31 20:59:32+00:00
arco-design,arco-design-mobile,SmallActive,500,84,500,10,56,9046,TypeScript,7,MIT,main,29,0,30,4831,1,1,1,0,0,0,2022-06-01 04:01:10+00:00,2026-07-09 06:41:01+00:00,2026-06-03 06:18:17+00:00
mchughalex,skate3recomp,SmallActive,500,14,500,10,18,420,C++,0,No License,main,1,6,1,8199,1,1,1,0,0,0,2026-06-04 20:48:10+00:00,2026-07-13 17:44:54+00:00,2026-06-30 23:11:00+00:00
VikashLoomba,copilot-mcp,SmallActive,500,54,500,5,6,9311,TypeScript,12,GPL-3.0,main,3,30,11,5485,1,1,1,0,0,0,2025-02-17 10:40:33+00:00,2026-07-14 09:32:11+00:00,2026-06-15 20:18:27+00:00
mxstbr,mxstbr.com,SmallActive,500,53,500,6,10,43174,TypeScript,3,No License,master,11,0,30,1923,0,0,1,0,0,0,2018-10-15 10:12:46+00:00,2026-06-29 07:26:58+00:00,2026-06-27 01:33:38+00:00
nickel-lang,organist,SmallActive,500,22,500,17,29,637,NCL,5,MIT,main,15,0,30,4598,1,1,1,0,0,0,2022-02-18 10:09:58+00:00,2026-07-01 03:07:50+00:00,2025-11-21 00:18:13+00:00
sketchpunklabs,ossos,SmallActive,500,51,500,24,13,1311,TypeScript,11,MIT,main,2,3,2,5485,1,1,1,0,0,0,2021-12-04 16:03:45+00:00,2026-07-13 16:46:52+00:00,2025-11-19 05:02:48+00:00
DataDog,kafka-kit,SmallActive,500,56,500,23,56,13626,Go,7,Apache-2.0,master,16,30,30,2448,1,1,1,0,0,0,2017-08-15 22:24:23+00:00,2026-07-13 20:14:19+00:00,2026-07-06 15:41:44+00:00
Hub-Tian,UAVs_Meet_LLMs,SmallActive,500,46,500,8,0,128,Unknown,0,MIT,main,5,0,1,62799,0,1,1,0,0,0,2024-12-27 04:29:18+00:00,2026-06-30 07:15:52+00:00,2025-03-26 17:39:34+00:00
RudeySH,lastfm-bulk-edit,SmallActive,500,16,500,13,11,4738,TypeScript,0,AGPL-3.0,main,2,0,2,9750,1,1,1,0,0,0,2020-02-06 18:58:14+00:00,2026-07-13 23:45:19+00:00,2026-07-07 16:10:25+00:00
Fattorino,ImNodeFlow,SmallActive,500,77,500,11,19,9369,C++,9,MIT,master,9,6,2,4153,0,1,1,0,0,0,2024-01-15 15:39:52+00:00,2026-07-06 00:07:35+00:00,2026-05-23 12:45:13+00:00
yoshuawuyts,futures-concurrency,SmallActive,500,48,500,8,35,668,Rust,4,Apache-2.0,main,27,17,7,3738,1,1,1,0,0,0,2021-08-29 17:50:52+00:00,2026-06-26 16:27:57+00:00,2026-01-28 12:52:44+00:00
